Company Name,Industry,Symbol
NESTLE INDIA LTD.,CONSUMER GOODS,NESTLEIND
NTPC LTD.,POWER,NTPC
OIL & NATURAL GAS CORPORATION LTD.,OIL & GAS,ONGC
PIDILITE INDUSTRIES LTD.,CHEMICALS,PIDILITIND
PI INDUSTRIES LTD.,FERTILISERS & PESTICIDES,PIIND
POWER GRID CORPORATION OF INDIA LTD.,POWER,POWERGRID
PUNJAB NATIONAL BANK,FINANCIAL SERVICES,PNB
RELIANCE INDUSTRIES LTD.,OIL & GAS,RELIANCE
SBI CARDS & PAYMENT SERVICES LTD.,FINANCIAL SERVICES,SBICARD
SBI LIFE INSURANCE COMPANY LTD.,FINANCIAL SERVICES,SBILIFE
STATE BANK OF INDIA,FINANCIAL SERVICES,SBIN
STEEL AUTHORITY OF INDIA LTD.,METALS,SAIL
SUN PHARMACEUTICAL INDUSTRIES LTD.,HEALTHCARE,SUNPHARMA
TATA CONSULTANCY SERVICES LTD.,IT,TCS
TATA CONSUMER PRODUCTS LTD.,CONSUMER GOODS,TATACONSUM
TATA ELXSI LTD.,IT,TATAELXSI
TATA MOTORS LTD.,AUTOMOBILE,TATAMOTORS
TATA POWER CO. LTD.,POWER,TATAPOWER
TATA STEEL LTD.,METALS,TATASTEEL
TECH MAHINDRA LTD.,IT,TECHM
TITAN COMPANY LTD.,CONSUMER GOODS,TITAN
TORRENT PHARMACEUTICALS LTD.,HEALTHCARE,TORNTPHARM
TRENT LTD.,CONSUMER GOODS,TRENT
ULTRATECH CEMENT LTD.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO
UNITED SPIRITS LTD.,CONSUMER GOODS,MCDOWELL-N
UPL LTD.,FERTILISERS & PESTICIDES,UPL
VEDANTA LTD.,METALS,VEDL
WIPRO LTD.,IT,WIPRO
YES BANK LTD.,FINANCIAL SERVICES,YESBANK
ZEE ENTERTAINMENT ENTERPRISES LTD.,MEDIA & ENTERTAINMENT,ZEEL
ZOMATO LTD.,SERVICES,ZOMATO
